Rk,Team,Rec,FBS,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk
62,Wisconsin,9-4,9-4,.07,.11,31,-.04,66,-.29,120,.25,25,.07,75,-.07,45
63,UAB,9-4,8-4,.06,-.07,128,.05,6,-.06,38,.15,67,.03,85,-.41,111
64,Alabama,13-2,12-2,.04,.08,48,-.04,60,-.11,49,.00,113,.33,38,-.87,130
65,Miami (OH),7-6,6-6,.04,.02,79,-.04,58,-.09,42,.11,81,.14,65,.15,18
66,Toledo,7-6,6-6,.02,.15,21,.02,23,-.20,86,.11,82,-.32,115,-.56,122
67,Bowling Green,4-8,3-8,.00,.05,62,-.19,117,.00,15,-.05,122,.85,2,-.36,103
68,Marshall,7-6,6-6,.00,.20,8,-.14,110,-.09,41,.16,63,-.40,119,-.17,63
69,Colorado State,3-9,3-8,-.01,.02,87,-.03,52,-.16,68,.20,48,.04,84,-.34,101
70,Arkansas,9-4,8-4,-.02,-.04,113,.02,21,-.11,51,.01,110,.41,31,-.12,53
71,Boston College,6-6,5-6,-.04,.17,16,-.20,122,-.19,82,.11,84,.42,29,-.77,129
72,TCU,5-7,4-7,-.05,.19,12,-.07,74,-.32,125,.15,66,.02,88,-.18,65
73,Connecticut,1-11,0-10,-.05,.08,47,-.12,102,-.01,19,.06,95,.01,89,-.10,49
74,North Carolina,6-7,5-7,-.09,-.03,106,-.03,50,-.06,36,-.04,121,.44,23,-.23,79
75,Arizona,1-11,1-10,-.10,-.01,99,-.07,81,-.14,61,.13,77,.28,43,-.60,124
76,Middle Tennessee,7-6,6-6,-.11,.00,94,-.07,73,.00,16,.13,74,-.26,111,-.09,47
77,Louisiana,13-1,12-1,-.13,.00,98,-.07,78,-.09,43,.25,23,-.31,114,.02,34
78,San Jose State,5-7,4-7,-.13,-.05,124,-.05,67,-.20,85,.21,39,.23,55,-.36,104
79,Wyoming,7-6,6-6,-.14,.13,26,-.09,93,-.20,90,.11,83,-.07,94,.10,21
80,Liberty,8-5,7-5,-.14,.05,61,.05,5,-.23,102,.21,43,-.55,121,.08,25
81,Ohio,3-9,3-8,-.15,.07,56,-.03,49,-.17,71,.13,79,-.23,108,-.21,72
82,Navy,4-8,4-8,-.17,.11,33,-.26,126,-.02,21,.02,107,.44,24,-.29,92
83,North Texas,6-7,5-7,-.17,.01,91,.04,12,-.18,80,.02,109,.05,80,-.27,88
